0 0 38447 
1 38447 30935 
2 69382 30718 
3 100100 30454 
4 130554 30051 
5 160605 28638 
6 189243 27027 
7 216270 25944 
8 242214 25810 
9 268024 25798 
10 293822 24561 
11 318383 23603 
12 341986 23246 
13 365232 22925 
14 388157 22549 
15 410706 22098 
16 432804 21767 
17 454571 20494 
18 475065 20235 
19 495300 20153 
20 515453 20093 
21 535546 19884 
22 555430 19789 
23 575219 19812 
24 595031 19686 
25 614717 19511 
26 634228 19551 
27 653779 19463 
28 673242 19366 
29 692608 19278 
30 711886 19092 
31 730978 19034 
32 750012 18949 
33 768961 18595 
34 787556 18443 
35 805999 18380 
36 824379 18316 
37 842695 18049 
38 860744 17884 
39 878628 17838 
40 896466 17719 
41 914185 17053 
42 931238 16461 
43 947699 16384 
44 964083 16310 
45 980393 16001 
46 996394 15913 
47 1012307 15864 
48 1028171 15870 
49 1044041 15591 
50 1059632 15563 
51 1075195 15546 
52 1090741 15504 
53 1106245 15391 
54 1121636 15320 
55 1136956 15283 
56 1152239 15115 
57 1167354 15073 
58 1182427 14984 
59 1197411 14790 
60 1212201 14661 
61 1226862 14616 
62 1241478 14616 
63 1256094 14516 
64 1270610 14177 
65 1284787 14075 
66 1298862 13967 
67 1312829 13781 
68 1326610 13765 
69 1340375 13748 
70 1354123 13751 
71 1367874 13703 
72 1381577 13686 
73 1395263 13657 
74 1408920 13639 
75 1422559 13564 
76 1436123 13561 
77 1449684 13389 
78 1463073 13313 
79 1476386 13155 
80 1489541 13045 
81 1502586 12992 
82 1515578 12943 
83 1528521 12967 
84 1541488 12902 
85 1554390 12863 
86 1567253 12850 
87 1580103 12852 
88 1592955 12604 
89 1605559 12577 
90 1618136 12577 
91 1630713 12479 
92 1643192 12475 
93 1655667 12440 
94 1668107 12283 
95 1680390 12283 
96 1692673 12273 
97 1704946 12227 
98 1717173 12143 
99 1729316 11928 
100 1741244 11966 
101 1753210 11754 
102 1764964 11617 
103 1776581 11618 
104 1788199 11637 
105 1799836 11638 
106 1811474 11606 
